,Context,Question,Answer
0,"there once lived a King named Maharaja Shantanu, the son of Pratipa, who took his birth in the solar dynasty and was considered naradeva, the manifest representative of the Supreme Lord on earth.",Who was Shantanu?,son of Pratipa
1,Jitavati is the daughter of the sage Usinara,Who was the daughter of the sage Usinara?,Jitavati
2,"When the sage's wrath was kindled, he cursed the Vasus, Because the Vasus have stolen his Kamadhenu cow, He cursed them to be born on earth as ordinary mortals.",Why did Vashistha curse the Vasus?,Because the Vasus have stolen his Kamadhenu cow
3,"Having taken the lovely Ganga for his wife, Maharaja Shantanu passed many years in her association.",Who was Maharaja Shantanu's wife?,Ganga
4,"However, on the birth of each child, Ganga threw them into the river",What did Ganga use to do with her children after their birth?,threw them into the river
5,"Ganga then informed the king Shantanu, ""O best among kings, our eighth child is standing next to me. His name is Devavrata.",Who was eigth child of Shantanu and Ganga?,Devavrata
6,"Devavrata has been the student of Vashistha Muni, who has taught our son the Vedas and their branches.",Who did teach Devavrata the Vedas and their branches?,Vashistha Muni
7,"Her name was Satyavati, and she was the daughter of a fisherman.",Who was the daughter of a fisherman king?,Satyavati
8,The one great obstacle to this marriage is that Devavrata will be crowned King and not the son born of Satyavati and Shantanu.,What was the one great obstacle to Devavrata marriage?,Devavrata will be crowned King and not the son born of Satyavati and Shantanu
9,"Maharaja Shantanu's Queen, Satyavati, bore a highly qualified son named Chitrangada.",Who was mother of Chitrangada?,Satyavati
10,"Later, another son was born to Satyavati, named Vichitravirya.",Who was mother of Vichitravirya?,Satyavati
11,Maharaja Shantanu enthroned Chitrangada as the world's king under Bhishma's protection,Maharaja Shantanu enthroned Chitrangada as the world's king under Whose protection?,Bhishma's protection
12,"Before entering the forest, Maharaja Shantanu enthroned Chitrangada as the world's king under Bhishma's protection.",Whom did Maharaja Shantanu enthrone as the world's king?,Chitrangada
13,"When Maharaja Shantanu heard about the oath his son had taken, he was pleased and gave him a benediction, ""You shall never experience death as long as you wish to live. Indeed, you will die only when you desire it.  Thus Satyavati was married to Maharaja Shantanu, and that glorious King accepted her into his palace and maintained her as she desired.",Whom did Satyavati marry to?,Maharaja Shantanu
14,"Nevertheless, in the heavenly planets there lived a Gandharva King whose name was also Chitrangada.",What was the Gandharva King's name?,Chitrangada
15,"Nevertheless, in the heavenly planets there lived a Gandharva King whose name was also Chitrangada. Upon hearing that an earthly being bore his name and was considered invincible, he challenged the son of Satyavati Chitrangada.",Whom did Chitrangada challenge?,son of Satyavati Chitrangada
